Age,Income,Education_Level,Travel_Frequency,Vacation_Budget,Proximity_to_Mountains,Proximity_to_Beaches,Pets,Environmental_Concerns,Preference,Gender_1,Gender_2,Preferred_Activities_1,Preferred_Activities_2,Preferred_Activities_3,Location_1,Location_2,Favorite_Season_1,Favorite_Season_2,Favorite_Season_3
56,71477,0,9,2477,175,267,0,1,1,1,0,1,0,0,0,1,0,1,0
69,88740,3,1,4777,228,190,0,1,0,1,0,0,0,1,1,0,0,0,0
46,46562,3,0,1469,71,280,0,0,1,0,0,1,0,0,0,1,0,0,1
32,99044,2,6,1482,31,255,1,0,1,0,1,0,0,0,0,0,0,1,0
60,106583,2,5,516,23,151,1,1,0,0,0,0,1,0,1,0,0,0,1
25,110588,1,3,2895,6,47,0,1,0,1,0,0,1,0,0,1,0,0,0
38,22245,0,1,4994,157,225,0,1,0,1,0,0,0,1,0,0,0,0,0
56,109411,0,8,3656,210,166,1,0,0,0,1,0,1,0,0,1,0,0,1
36,22531,3,6,2408,218,263,1,1,0,1,0,0,0,1,1,0,0,1,0
40,90840,2,1,4044,271,15,1,1,0,0,1,0,0,1,0,0,0,1,0
28,42036,3,4,3495,159,51,0,1,0,0,0,1,0,0,1,0,1,0,0
28,97902,2,3,1747,33,21,1,0,0,0,1,1,0,0,0,1,0,0,1
41,52794,0,7,1591,130,254,1,1,1,0,0,0,0,0,1,0,0,1,0
53,93042,0,9,2221,211,148,0,1,0,0,0,0,1,0,0,0,0,0,0
57,65802,2,3,2607,36,258,0,0,1,1,0,0,0,0,1,0,0,0,0
41,99810,3,2,2830,77,209,1,1,1,0,0,1,0,0,0,1,0,0,0
20,112635,0,7,675,280,211,0,0,0,1,0,0,1,0,0,0,0,0,1
39,52469,1,4,4979,253,50,0,1,0,0,1,0,0,0,0,0,0,1,0
19,69522,0,5,4028,162,293,0,0,0,0,1,0,1,0,0,0,0,0,0
41,46992,1,1,803,207,162,0,0,0,0,0,0,0,0,0,1,0,1,0
61,107749,2,5,4140,296,169,0,1,0,0,1,0,0,0,0,1,0,0,0
47,97814,3,7,3818,298,41,1,1,0,0,0,1,0,0,1,0,1,0,0
55,52222,2,1,635,263,241,1,1,0,0,1,1,0,0,1,0,0,0,0
19,82148,0,1,862,164,1,0,1,0,0,0,0,0,1,0,0,0,0,1
38,112172,3,4,3424,234,54,1,0,0,0,0,1,0,0,0,1,1,0,0
50,43152,3,3,3923,243,161,1,1,0,0,1,1,0,0,0,1,0,1,0
29,98433,2,3,1823,48,185,1,0,0,0,1,0,1,0,0,0,1,0,0
39,46417,2,4,2850,220,230,0,1,1,0,1,1,0,0,1,0,0,1,0
61,29865,0,6,3940,256,291,0,1,0,0,1,0,0,1,0,0,0,1,0
42,83719,1,1,948,201,24,1,0,0,0,0,0,0,1,0,0,1,0,0
66,46795,2,2,4703,165,294,1,0,1,0,0,0,0,0,1,0,1,0,0
44,92148,3,3,2510,30,125,1,0,0,0,1,0,1,0,1,0,0,0,0
59,34116,1,5,1714,209,90,1,0,0,0,1,0,0,0,0,0,0,1,0
45,58179,2,3,4382,46,124,0,0,1,1,0,1,0,0,1,0,1,0,0
33,73175,2,9,2385,118,296,1,0,1,0,0,1,0,0,0,0,1,0,0
32,21627,2,4,3849,107,91,1,0,0,0,0,0,1,0,0,1,0,0,0
64,97004,1,7,2581,288,27,0,1,0,0,1,0,0,1,0,0,0,1,0
68,65603,2,0,3216,51,149,0,1,1,1,0,0,0,0,0,0,0,0,1
61,93856,0,2,2754,93,105,1,1,1,0,1,1,0,0,1,0,0,0,0
69,109258,2,7,3623,260,181,0,0,0,0,0,0,0,1,1,0,0,1,0
20,31144,3,4,3453,212,15,0,0,0,0,0,0,0,1,1,0,0,0,1
54,114704,2,8,2611,246,221,1,1,0,1,0,0,0,1,1,0,1,0,0
68,32243,3,6,2713,274,134,1,0,0,0,1,0,0,0,1,0,0,1,0
24,30602,1,8,1998,207,168,0,1,0,1,0,0,0,1,1,0,1,0,0
38,43401,2,9,3701,77,8,0,0,0,0,1,1,0,0,1,0,0,1,0
26,68080,2,0,4571,250,173,1,1,0,1,0,0,0,1,0,1,1,0,0
56,97682,1,6,553,231,250,1,1,0,0,1,0,0,1,0,0,0,0,1
35,98367,0,7,1641,123,184,0,1,1,0,1,0,0,0,1,0,0,0,1
21,98203,1,0,3244,49,167,0,1,1,0,1,0,0,0,0,1,0,1,0
42,119298,1,0,3895,266,270,0,0,0,0,0,0,0,1,1,0,0,1,0
31,21605,3,9,2564,164,133,0,0,0,0,1,0,1,0,0,1,0,0,1
67,37721,2,7,558,160,263,1,1,0,0,0,0,1,0,1,0,1,0,0
26,41939,2,5,4235,84,17,1,1,0,1,0,0,1,0,1,0,0,1,0
43,28389,3,6,2718,25,18,0,0,0,0,1,0,0,0,0,1,1,0,0
19,86904,3,3,1670,197,248,1,1,0,0,0,0,1,0,0,0,0,0,0
37,87867,2,9,2921,241,47,0,1,0,1,0,1,0,0,0,1,0,0,0
45,48902,0,4,2556,264,138,1,1,0,0,1,0,1,0,0,0,1,0,0
64,99552,0,4,3229,243,227,0,0,0,1,0,0,0,1,0,0,0,1,0
24,63471,3,8,3540,13,177,0,1,0,0,0,0,0,1,1,0,1,0,0
61,111027,2,2,3359,31,285,0,1,1,0,0,1,0,0,1,0,0,0,0
25,83063,0,0,2382,51,24,0,0,0,0,1,0,0,0,1,0,0,1,0
64,27118,0,1,3319,64,202,1,1,1,0,0,0,0,0,1,0,0,0,0
52,108178,2,9,2349,166,121,1,0,0,0,0,0,0,0,1,0,0,0,1
31,23721,1,1,3276,93,292,0,1,1,1,0,0,0,0,1,0,0,0,1
34,87005,1,9,4675,261,262,0,1,0,0,1,0,1,0,1,0,0,1,0
53,26436,0,5,1065,13,221,1,1,0,0,1,0,0,1,0,1,0,0,1
67,118018,1,7,4280,250,170,1,1,0,0,1,0,0,1,0,0,0,0,1
57,30043,1,9,1209,279,73,0,1,0,1,0,0,0,1,1,0,1,0,0
21,33914,0,6,4581,278,219,1,1,0,0,0,0,0,1,0,1,0,0,0
19,95101,2,0,1672,98,167,1,0,0,0,1,0,0,1,0,0,0,1,0
23,53090,2,7,1963,20,105,0,0,1,0,1,0,0,0,0,0,0,0,1
59,105171,0,6,1737,105,164,1,0,1,1,0,1,0,0,0,0,1,0,0
21,73615,0,1,2766,195,171,1,1,0,1,0,0,0,1,0,1,0,1,0
46,46301,3,9,2288,277,207,1,1,0,0,1,0,0,0,1,0,1,0,0
35,116651,1,5,826,26,66,0,0,1,0,1,1,0,0,0,1,0,0,0
43,45329,0,6,3518,258,76,1,1,0,1,0,1,0,0,0,1,0,1,0
61,110652,1,5,2480,79,180,1,1,1,1,0,0,0,0,1,0,0,0,1
51,26429,0,0,2704,283,216,1,0,0,1,0,0,0,0,0,0,0,0,0
27,107701,1,8,1759,38,132,0,0,1,1,0,1,0,0,1,0,0,1,0
53,50032,2,2,1939,77,69,1,1,0,0,0,0,0,0,1,0,1,0,0
31,73556,2,4,3985,242,90,0,0,0,0,0,1,0,0,1,0,1,0,0
48,46842,0,7,3205,117,105,0,1,0,0,1,0,1,0,0,0,1,0,0
65,22837,1,1,4769,136,99,0,1,0,0,0,0,0,1,0,1,0,0,1
32,106832,0,3,2362,298,258,0,0,0,1,0,0,0,1,0,1,0,0,0
25,27088,1,4,1396,192,151,1,0,0,0,1,0,0,0,0,1,0,1,0
31,28582,0,8,4858,106,70,1,0,0,1,0,1,0,0,0,0,0,0,0
40,71245,0,1,4552,261,205,1,0,0,0,0,1,0,0,0,1,1,0,0
57,75306,3,5,1813,109,210,1,1,1,1,0,0,0,0,0,0,1,0,0
38,22063,3,6,3175,215,182,1,0,0,0,1,0,0,1,0,1,0,0,1
33,27349,3,9,3477,68,96,0,0,0,0,0,0,0,1,0,0,0,1,0
62,111832,3,1,2519,54,115,1,0,0,0,1,0,1,0,0,1,0,0,0
35,110659,3,9,780,61,194,0,0,0,0,0,0,0,1,0,1,0,0,1
64,53842,3,9,3358,240,251,0,1,0,1,0,0,1,0,0,1,0,1,0
41,89781,1,3,634,20,162,1,1,0,0,1,0,1,0,0,0,0,1,0
43,119815,3,3,2646,244,235,1,0,0,0,0,0,0,0,1,0,0,0,0
42,98244,2,5,3467,254,96,1,0,0,0,0,0,0,1,0,0,0,1,0
62,62242,0,1,2180,7,114,0,0,1,0,0,0,0,0,0,1,0,0,1
58,60226,2,8,1539,284,201,0,0,0,0,0,0,0,0,0,0,1,0,0
46,86160,3,4,1046,232,281,0,0,1,1,0,0,0,0,0,1,0,1,0
32,42309,1,4,3959,290,179,0,1,0,1,0,1,0,0,0,0,0,1,0
62,43913,0,6,2341,185,102,0,1,0,0,0,0,1,0,0,0,0,0,0
18,68694,3,5,2193,171,4,0,0,0,1,0,1,0,0,0,0,0,1,0
42,26568,0,9,2748,91,59,0,1,0,1,0,0,0,0,0,0,0,0,1
24,40183,0,3,1695,283,187,1,0,0,0,0,0,0,1,0,1,1,0,0
26,33173,2,5,3653,190,48,0,0,0,1,0,0,1,0,1,0,0,1,0
41,110273,1,1,3502,271,284,1,0,0,0,1,0,1,0,0,0,1,0,0
18,101890,0,8,3135,123,254,1,0,0,0,1,0,0,1,0,0,1,0,0
61,36906,1,3,4740,173,21,0,0,0,1,0,0,1,0,0,1,1,0,0
25,45806,2,6,4595,129,171,0,1,0,0,0,0,1,0,1,0,0,0,0
41,30509,3,8,1584,33,157,1,1,0,0,1,0,0,1,0,0,0,0,1
28,23052,2,6,1975,1,232,0,1,1,1,0,0,0,0,0,1,0,0,0
68,60468,1,2,3775,167,130,1,1,0,1,0,1,0,0,0,0,0,1,0
34,62395,3,1,4945,17,69,0,0,1,0,0,1,0,0,1,0,1,0,0
25,60554,1,5,610,56,52,1,1,0,0,0,0,1,0,1,0,0,0,0
52,88709,0,2,1547,133,270,1,1,1,1,0,1,0,0,0,1,1,0,0
52,52597,0,5,892,45,274,1,1,0,0,0,0,1,0,0,1,0,0,0
50,23068,1,6,1458,80,57,0,1,0,0,1,0,0,1,0,1,0,0,0
22,63579,0,3,4052,150,84,0,0,0,0,1,0,0,0,0,0,0,1,0
59,20545,2,4,4831,19,198,1,0,0,1,0,0,1,0,0,1,0,0,0
56,109152,1,0,2217,170,17,1,0,0,1,0,0,0,0,1,0,1,0,0
58,31478,3,0,1554,240,90,0,0,0,0,0,0,1,0,1,0,0,0,0
45,89599,1,7,3119,286,200,0,0,0,0,1,0,0,1,1,0,0,0,1
24,77091,3,5,1804,68,79,0,1,1,0,0,0,0,0,0,1,0,0,1
26,42888,1,0,4518,156,249,1,1,1,1,0,1,0,0,1,0,0,0,1
25,71946,1,4,2511,76,25,1,0,0,1,0,0,0,0,1,0,0,0,0
29,60005,1,4,1015,164,147,1,0,0,1,0,0,1,0,0,0,0,0,1
51,116079,0,7,3363,69,57,0,0,0,1,0,0,1,0,0,0,0,1,0
50,61993,1,0,4317,250,50,1,0,0,1,0,0,0,1,0,1,0,0,0
65,85314,3,0,1186,213,108,0,0,0,1,0,0,0,1,0,1,1,0,0
40,24311,1,0,1898,1,151,0,0,0,0,0,0,0,1,0,1,0,0,0
41,100062,0,6,1096,249,124,0,0,0,0,0,0,1,0,0,0,1,0,0
54,109696,2,3,1633,222,280,0,0,1,0,0,1,0,0,0,0,0,0,0
52,67322,0,6,3563,212,73,1,1,0,0,1,0,0,0,1,0,0,0,0
61,119736,0,9,3525,259,198,0,1,0,0,0,0,0,1,0,0,0,0,1
57,33692,3,4,523,151,78,1,1,0,1,0,0,0,0,0,1,0,1,0
39,54008,1,6,2204,52,231,0,1,0,0,0,0,1,0,0,0,0,1,0
44,54591,2,4,690,15,27,1,0,1,0,0,0,0,0,1,0,0,0,0
52,97929,2,3,4067,159,72,0,1,0,0,1,1,0,0,0,1,0,1,0
18,72377,2,6,3443,20,60,1,1,0,1,0,0,0,1,0,0,0,1,0
52,96867,0,5,2133,223,47,0,1,0,0,1,0,0,0,0,1,0,0,1
54,39912,3,3,2779,289,223,0,0,0,0,1,0,0,1,0,1,0,1,0
64,77242,2,0,2005,263,220,0,1,0,0,1,0,0,0,1,0,0,0,1
31,109800,0,6,2341,8,216,0,1,0,0,0,0,1,0,0,0,0,0,0
20,111627,0,7,1137,43,239,1,1,1,1,0,0,0,0,0,0,1,0,0
18,82041,3,4,3688,161,265,0,0,0,1,0,0,1,0,1,0,0,0,1
22,78378,0,9,2993,270,215,0,0,0,0,1,1,0,0,0,1,0,0,0
43,79828,1,8,1767,158,109,1,0,0,1,0,0,0,0,1,0,1,0,0
31,46213,0,7,4271,74,237,0,0,1,1,0,1,0,0,0,0,0,0,1
56,80191,3,1,3153,251,68,1,1,0,0,1,1,0,0,0,0,0,0,1
44,59610,0,6,3862,287,197,0,1,0,0,0,1,0,0,0,0,0,1,0
26,98054,0,7,1925,248,201,1,0,0,0,1,0,0,0,0,1,0,0,1
32,67240,0,3,3909,266,104,0,0,0,0,1,1,0,0,1,0,0,1,0
32,74794,2,0,1415,26,1,0,0,0,0,0,0,1,0,0,1,0,1,0
43,71600,1,0,1120,52,297,1,0,1,0,0,1,0,0,0,1,0,0,0
59,114047,2,4,1141,260,143,0,0,0,0,0,1,0,0,1,0,0,1,0
30,55594,0,7,1825,191,203,1,1,1,0,0,0,0,0,0,0,0,1,0
68,90200,0,3,1358,264,226,0,1,0,0,1,1,0,0,1,0,0,0,0
49,37365,0,0,3324,5,230,1,1,1,0,0,1,0,0,0,1,1,0,0
56,104017,3,2,1055,35,55,0,1,1,1,0,0,0,0,1,0,0,0,1
66,44569,1,2,4418,133,7,1,0,0,0,1,0,1,0,0,1,0,0,1
69,88432,2,8,4305,266,10,1,1,0,0,1,0,1,0,0,0,0,1,0
49,55892,1,3,771,95,265,1,0,1,0,0,0,0,0,1,0,0,0,1
21,73848,0,3,951,210,76,0,0,0,0,0,1,0,0,0,0,1,0,0
47,111899,3,3,2126,55,258,1,0,1,1,0,0,0,0,1,0,0,0,1
54,110319,1,4,858,113,58,0,1,0,0,0,0,0,0,0,1,1,0,0
40,39168,3,6,2240,10,237,0,1,0,0,1,0,0,1,0,0,0,0,0
56,41953,1,3,1267,45,184,0,0,1,0,0,1,0,0,1,0,1,0,0
62,57034,0,6,3044,25,276,0,1,0,1,0,0,1,0,1,0,0,0,0
32,35142,2,4,2776,275,285,0,1,1,0,1,1,0,0,0,0,0,1,0
60,74313,3,3,4741,266,247,0,0,0,0,1,0,0,0,0,1,0,1,0
46,61675,1,7,757,81,296,1,1,0,0,0,0,0,1,0,0,0,0,1
53,72202,0,7,4948,52,180,0,1,0,1,0,0,1,0,0,0,1,0,0
30,98753,0,8,2550,43,144,1,0,1,1,0,0,0,0,0,1,0,1,0
